Frame Index,Rewarded Vertical Motion,Mean Vertical Motion,Overall Std Dev,Region-wise Std Dev
0 to 1,0.0,0.0285,1.7899,0.0484
1 to 2,0.0,0.0064,1.5057,0.0235
2 to 3,0.0,0.0634,2.6551,0.2071
3 to 4,2.0852,8.198,7.2628,3.1025
