Frame Index,Rewarded Vertical Motion,Mean Vertical Motion,Overall Std Dev,Region-wise Std Dev
0 to 1,0.0,0.0158,0.8916,0.0181
1 to 2,0.0,0.0099,0.9568,0.0166
