Frame Index,Rewarded Vertical Motion,Mean Vertical Motion,Overall Std Dev,Region-wise Std Dev
0 to 1,0.2412,2.8849,10.5801,3.0094
1 to 2,0.0003,0.0052,0.0373,0.004
2 to 3,0.0,0.0014,0.1026,0.0019
3 to 4,0.0,0.0006,0.0773,0.0009
