Frame Index,Rewarded Vertical Motion,Mean Vertical Motion,Overall Std Dev,Region-wise Std Dev
0 to 1,0.0,0.019,1.9453,0.0308
1 to 2,0.0,0.0243,2.7201,0.0439
2 to 3,0.0,0.023,1.6782,0.0388
