Frame Index,Rewarded Vertical Motion,Mean Vertical Motion,Overall Std Dev,Region-wise Std Dev
0 to 1,0.0,0.0063,0.6105,0.0108
1 to 2,0.0,0.0,0.05,1e-04
2 to 3,0.0,0.0,0.0946,1e-04
