Frame Index,Rewarded Vertical Motion,Mean Vertical Motion,Overall Std Dev,Region-wise Std Dev
0 to 1,0.0,0.0074,1.7705,0.0163
1 to 2,0.0,0.0047,1.4036,0.0122
