Frame Index,Rewarded Vertical Motion,Mean Vertical Motion,Overall Std Dev,Region-wise Std Dev
0 to 1,0.0,0.0237,1.4012,0.0364
1 to 2,0.0,0.0073,1.2213,0.0227
2 to 3,0.0004,0.212,7.8356,0.5097
3 to 4,0.0,0.0114,0.5626,0.0121
4 to 5,0.0,0.0062,0.3073,0.0067
