Frame Index,Rewarded Vertical Motion,Mean Vertical Motion,Overall Std Dev,Region-wise Std Dev
0 to 1,0.0,0.0111,1.1084,0.0225
1 to 2,0.0369,1.4355,7.2862,1.8274
2 to 3,0.002,0.3798,6.6614,0.6289
3 to 4,0.0,0.0078,8.2895,0.0153
