Frame Index,Rewarded Vertical Motion,Mean Vertical Motion,Overall Std Dev,Region-wise Std Dev
0 to 1,0.0,0.0029,0.0271,0.0038
1 to 2,0.0126,8.669,246.7262,32.4958
